Type,Basis,Catch,F,SSB_2019,SSB_2020
ICES advice basis,EU MAP^^: FMSY,155333,0.22,735005,716594
ICES advice basis,EU MAP^^: Flower,115591,0.16,750157,766194
ICES advice basis,EU MAP^^: Fupper,192787,0.28,720202,670935
Other scenarios,ICES MSY approach: FMSY,155333,0.22,735005,716594
Other scenarios,20% decrease in TAC ^^^,210703,0.31,712928,649472
Other scenarios,F = 0,0,0,791368,916969
Other scenarios,F = Fpa,263813,0.41,690577,587317
Other scenarios,F = Flim,318710,0.52,666102,525436
Other scenarios,SSB (2020) = Blim,408365,0.73,622595,429752
Other scenarios,SSB (2020) = Bpa,254003,0.39,694799,598630
Other scenarios,SSB (2020) = MSY Btrigger,254003,0.39,694799,598630
Other scenarios,F = F2018,232886,0.35,703741,623242
